customer_id,gender,education,marital_status,age
194,F,graduate school,single,24
195,M,university,married,36
196,F,graduate school,single,24
197,F,university,married,34
198,F,graduate school,single,22
199,F,graduate school,married,34
200,F,high school,single,22
201,F,graduate school,married,38
202,M,graduate school,single,31
203,F,graduate school,single,26
204,M,university,single,26
205,F,university,married,48
206,M,high school,married,43
207,M,graduate school,married,47
208,F,university,married,41
209,F,university,single,24
210,F,graduate school,married,50
211,M,graduate school,single,24
212,F,graduate school,married,38
213,F,high school,married,43
214,M,university,single,39
215,M,university,single,27
216,M,high school,married,42
217,F,university,married,36
218,M,university,single,36
219,F,high school,,31
220,F,graduate school,single,38
221,F,graduate school,married,40
222,F,high school,single,45
223,F,university,single,35
224,F,university,single,33
225,F,high school,single,37
226,F,graduate school,single,28
227,M,high school,married,44
228,M,university,married,37
229,M,university,single,23
230,F,high school,single,24
231,F,graduate school,single,24
232,M,university,single,23
233,M,university,married,26
234,M,university,single,34
235,F,university,married,33
236,M,graduate school,single,35
237,F,university,single,27
238,F,graduate school,single,31
239,F,high school,married,50
240,F,university,others,41
241,F,graduate school,single,28
242,M,graduate school,single,39
243,F,university,single,27
244,F,graduate school,single,32
245,F,graduate school,single,40
246,F,university,single,40
247,F,university,married,75
248,F,university,single,27
249,M,graduate school,single,25
250,M,high school,married,46
251,F,university,single,26
252,M,university,single,28
253,F,university,single,26
254,F,graduate school,single,28
255,F,university,single,29
256,M,university,married,25
257,F,university,married,48
258,F,university,married,33
259,F,high school,married,43
260,M,graduate school,married,48
261,F,graduate school,single,29
262,M,university,single,29
263,F,graduate school,married,38
264,F,graduate school,single,37
265,F,graduate school,single,37
266,F,university,married,25
267,M,high school,single,23
268,F,high school,single,49
269,F,graduate school,single,48
270,M,university,single,27
271,M,high school,single,32
272,M,graduate school,married,34
273,F,graduate school,single,58
274,F,university,single,33
275,F,university,single,28
276,F,university,single,36
277,M,graduate school,married,40
278,F,graduate school,single,26
279,M,high school,married,33
280,F,university,married,31
281,F,graduate school,single,27
282,M,university,married,44
283,F,high school,single,30
284,F,graduate school,single,28
285,F,high school,married,32
286,F,graduate school,married,46
287,M,graduate school,single,38
288,F,university,married,46
289,F,university,single,25
290,F,university,married,46
291,M,graduate school,single,33
292,F,university,single,22
293,M,university,married,43
294,M,university,single,27
295,M,graduate school,single,29
296,M,graduate school,single,31
297,F,university,married,29
298,F,university,married,36
299,F,graduate school,married,36
300,M,graduate school,single,34
301,M,university,single,37
302,F,graduate school,single,36
303,F,high school,married,40
304,F,graduate school,single,25
305,F,graduate school,single,27
306,F,university,single,26
307,F,university,married,36
308,F,university,married,27
309,M,high school,married,55
310,F,graduate school,single,27
311,F,university,married,38
312,F,university,married,34
313,M,graduate school,single,40
314,F,high school,married,49
315,M,graduate school,single,27
316,M,university,single,23
317,F,university,single,36
318,F,high school,married,53
319,F,high school,married,46
320,M,university,single,29
321,M,university,single,29
322,F,graduate school,single,27
323,M,university,single,24
324,F,university,married,28
325,F,university,single,32
326,M,university,single,43
327,F,university,married,41
328,F,university,married,34
329,M,university,married,55
330,M,graduate school,married,40
331,F,university,married,37
332,F,university,single,40
333,F,graduate school,single,28
334,F,university,married,43
335,M,graduate school,single,27
336,F,graduate school,single,28
337,F,graduate school,single,30
338,F,university,single,31
339,F,university,married,31
340,F,graduate school,single,34
341,F,university,single,30
342,M,university,single,36
343,F,graduate school,single,29
344,M,graduate school,married,39
345,F,graduate school,single,26
346,F,graduate school,single,29
347,F,university,single,26
348,F,university,single,29
349,F,university,single,31
350,F,university,single,26
351,M,graduate school,single,26
352,M,graduate school,married,36
353,M,graduate school,single,30
354,F,university,single,43
355,M,high school,married,58
356,M,university,married,45
357,F,university,single,26
358,M,university,single,34
359,F,others,single,24
360,M,graduate school,married,34
361,F,university,single,23
362,F,university,single,30
363,M,university,single,32
364,M,graduate school,married,40
365,F,graduate school,single,35
366,F,university,married,56
367,F,university,married,61
368,M,university,single,24
369,M,graduate school,married,40
370,F,university,married,32
371,M,university,married,36
372,M,graduate school,single,30
373,F,graduate school,single,34
374,M,high school,others,54
375,M,graduate school,married,46
376,M,high school,married,58
377,M,university,married,43
378,F,graduate school,single,28
379,M,graduate school,single,30
380,M,university,single,31
381,F,university,single,29
382,F,university,married,37
383,M,high school,married,36
384,F,university,single,28
385,M,university,single,25
386,F,unknown,married,42
387,F,graduate school,single,29
388,M,high school,married,73
389,M,university,married,43
390,M,graduate school,married,30
391,M,graduate school,married,38
392,F,university,married,39
393,M,university,married,44
394,F,university,single,29
395,M,graduate school,married,51
396,F,graduate school,single,27
397,M,graduate school,single,38
398,F,university,single,22
399,F,university,married,30
400,F,university,single,25
401,M,graduate school,single,29
402,F,high school,others,42
403,M,graduate school,single,41
404,M,university,married,48
405,F,graduate school,single,29
406,M,graduate school,married,52
407,F,university,married,25
408,M,graduate school,married,37
409,F,graduate school,single,27
410,M,graduate school,single,31
411,F,graduate school,single,23
412,F,graduate school,married,38
413,F,graduate school,married,32
414,F,university,single,27
415,F,high school,married,41
416,F,high school,married,35
417,F,graduate school,single,31
418,F,graduate school,single,30
419,M,university,married,48
420,F,graduate school,single,36
421,M,graduate school,single,24
422,F,graduate school,single,29
423,F,university,single,38
424,M,university,married,38
425,F,university,married,30
426,F,university,married,32
427,F,high school,single,49
428,F,graduate school,single,31
429,M,graduate school,single,27
430,F,university,single,33
431,F,university,single,25
432,F,graduate school,single,27
433,F,graduate school,single,29
434,F,graduate school,married,36
435,M,high school,married,55
436,F,university,married,32
437,F,graduate school,single,27
438,M,high school,married,37
439,F,graduate school,married,25
440,F,graduate school,single,23
441,M,university,single,23
442,M,graduate school,single,32
443,F,graduate school,single,26
444,F,graduate school,single,27
445,M,graduate school,single,44
446,M,university,single,34
447,F,graduate school,single,28
448,F,graduate school,married,53
449,M,others,married,42
450,F,high school,married,30
451,M,graduate school,married,51
452,M,graduate school,married,53
453,M,university,single,37
454,F,graduate school,single,26
455,M,university,single,42
456,M,university,single,39
457,M,high school,single,39
458,M,graduate school,single,32
459,F,university,married,41
460,M,university,married,48
461,F,university,married,38
462,F,university,married,36
463,F,university,single,26
464,F,graduate school,single,28
465,F,high school,others,56
466,M,graduate school,married,59
467,M,graduate school,single,38
468,M,university,single,32
469,M,university,married,38
470,F,graduate school,married,41
471,F,high school,single,35
472,F,university,single,41
473,M,university,married,34
474,M,high school,married,38
475,F,university,married,32
476,F,university,single,29
477,M,graduate school,single,44
478,F,university,married,37
479,F,graduate school,married,38
480,M,graduate school,single,31
481,F,university,married,40
482,M,university,single,26
483,F,university,single,28
484,M,high school,married,48
485,F,university,married,43
486,M,university,married,31
487,F,graduate school,married,42
488,M,university,married,39
489,F,university,married,36
490,F,graduate school,married,34
491,F,university,single,32
492,F,university,married,43
493,M,university,single,30
494,F,university,single,28
495,F,graduate school,married,28
496,M,graduate school,married,41
497,F,high school,single,47
498,M,university,single,23
499,F,graduate school,married,49
500,M,graduate school,married,38
501,F,university,married,38
502,F,university,married,35
503,F,unknown,single,46
504,F,graduate school,married,33
505,M,unknown,married,53
506,M,graduate school,single,35
507,F,university,single,43
508,F,university,single,28
509,F,university,married,30
510,M,graduate school,single,26
511,M,university,married,31
512,F,university,single,35
513,M,graduate school,single,28
514,M,university,single,23
515,F,university,single,23
516,M,high school,married,56
517,M,high school,married,32
518,M,university,married,47
519,F,university,single,22
520,F,graduate school,married,34
521,F,graduate school,married,31
522,F,university,single,27
523,M,graduate school,single,28
524,F,university,married,42
525,F,graduate school,single,32
526,F,university,single,27
527,M,university,single,27
528,F,university,married,45
529,M,graduate school,single,26
530,F,university,single,21
531,M,university,single,23
532,M,university,others,30
533,M,university,single,46
534,F,high school,married,50
535,M,graduate school,single,26
536,M,university,single,25
537,F,graduate school,single,35
538,M,university,married,44
539,F,graduate school,single,52
540,F,university,married,40
541,F,graduate school,single,38
542,F,graduate school,single,28
543,F,university,married,36
544,F,graduate school,single,24
545,F,graduate school,married,34
546,F,graduate school,single,31
547,F,graduate school,married,41
548,F,university,single,25
549,F,graduate school,single,28
550,M,graduate school,single,27
551,M,high school,married,52
552,F,graduate school,single,41
553,M,graduate school,married,56
554,F,graduate school,married,42
555,F,university,single,24
556,F,university,married,47
557,F,graduate school,married,33
558,F,university,single,32
559,M,university,single,29
560,F,high school,married,53
561,M,graduate school,single,34
562,F,university,single,52
563,F,university,married,42
564,M,university,single,38
565,F,graduate school,single,45
566,F,high school,single,35
567,F,graduate school,single,24
568,M,graduate school,single,28
569,M,high school,single,26
570,F,graduate school,married,40
571,F,graduate school,single,29
572,F,university,single,23
573,M,graduate school,single,33
574,F,university,single,60
575,F,high school,married,49
576,M,graduate school,married,53
577,F,graduate school,single,28
578,M,graduate school,single,31
579,M,university,single,36
580,M,university,married,35
581,M,university,single,28
582,M,university,single,33
583,M,graduate school,single,26
584,F,high school,single,53
585,M,university,single,42
586,F,graduate school,single,25
587,M,graduate school,married,43
588,M,high school,single,25
589,F,university,single,29
590,F,university,married,31
591,F,graduate school,married,30
592,M,graduate school,single,34
593,M,graduate school,married,35
594,M,university,married,32
595,M,high school,single,46
596,M,graduate school,married,43
597,M,university,single,29
598,F,high school,single,31
599,F,university,single,24
600,F,university,married,36
601,F,university,married,43
602,M,high school,married,59
603,M,graduate school,married,53
604,F,university,single,28
605,F,university,single,31
606,M,graduate school,single,34
607,F,university,married,36
608,F,graduate school,single,24
609,F,high school,married,36
610,F,university,married,34
611,M,graduate school,single,43
612,F,graduate school,single,29
613,M,university,married,37
614,M,university,single,23
615,F,university,married,37
616,M,graduate school,single,33
617,F,graduate school,married,37
618,F,university,married,56
619,M,graduate school,single,25
620,F,university,married,39
621,F,university,married,39
622,F,university,single,28
623,F,graduate school,single,27
624,F,university,married,37
625,F,graduate school,single,24
626,F,university,single,24
627,M,graduate school,married,46
628,M,graduate school,married,39
629,M,high school,married,48
630,F,high school,others,45
631,M,high school,single,49
632,F,university,single,23
633,F,high school,married,25
634,F,university,married,47
635,M,high school,married,56
636,F,high school,married,44
637,F,high school,married,49
638,M,university,married,41
639,F,graduate school,single,40
640,M,university,single,31
641,M,university,married,42
642,F,high school,married,28
643,F,university,single,32
644,M,university,single,28
645,F,university,married,31
646,M,high school,single,39
647,M,high school,married,31
648,F,university,single,24
649,F,university,married,44
650,F,university,single,46
651,M,graduate school,single,32
652,F,university,single,26
653,F,graduate school,single,22
654,F,graduate school,married,42
655,M,university,single,33
656,M,university,married,39
657,F,high school,single,27
658,F,graduate school,single,28
659,F,graduate school,single,23
660,F,university,single,28
661,F,graduate school,married,33
662,M,university,married,40
663,F,graduate school,single,37
664,M,graduate school,single,22
665,F,university,married,32
666,F,high school,married,43
667,F,high school,married,27
668,F,university,married,35
669,F,high school,married,35
670,F,graduate school,married,30
671,F,university,single,34
672,M,university,married,34
673,F,graduate school,single,28
674,M,university,single,25
675,F,graduate school,married,41
676,M,high school,single,42
677,M,university,single,40
678,M,graduate school,single,28
679,F,university,single,31
680,F,graduate school,single,56
681,F,university,others,45
682,F,graduate school,single,29
683,F,graduate school,married,35
684,F,university,single,28
685,M,graduate school,married,40
686,M,graduate school,married,47
687,F,high school,married,41
688,F,university,single,27
689,M,graduate school,married,40
690,M,university,single,32
691,M,university,single,35
692,M,university,single,27
693,F,university,married,29
694,M,graduate school,single,30
695,M,university,married,37
696,F,graduate school,single,29
697,F,graduate school,married,34
698,F,university,single,34
699,M,graduate school,married,41
700,F,graduate school,single,31
701,F,university,single,40
702,F,graduate school,married,27
703,F,high school,single,22
704,F,university,others,30
705,F,university,others,22
706,M,graduate school,single,26
707,M,university,married,38
708,F,high school,married,46
709,M,university,single,24
710,M,university,single,49
711,M,graduate school,others,49
712,F,university,married,42
713,F,graduate school,married,30
714,M,university,married,42
715,F,graduate school,single,31
716,F,university,married,49
717,F,university,single,27
718,F,university,married,33
719,F,graduate school,married,35
720,F,university,single,48
721,F,university,single,22
722,M,university,single,22
723,F,graduate school,single,27
724,M,graduate school,married,47
725,F,university,single,34
726,M,university,married,45
727,F,university,single,39
728,M,university,single,33
729,F,university,single,29
730,M,graduate school,single,29
731,F,high school,single,26
732,M,university,married,38
733,M,graduate school,single,34
734,F,graduate school,married,37
735,M,university,married,57
736,F,high school,married,50
737,F,high school,single,28
738,F,graduate school,single,31
739,F,graduate school,single,25
740,F,university,single,25
741,F,university,married,33
742,F,graduate school,single,30
743,F,graduate school,married,51
744,M,graduate school,single,51
745,F,university,married,46
746,M,high school,single,38
747,F,university,married,34
748,F,high school,married,34
749,F,graduate school,single,31
750,F,university,single,25
751,F,university,married,26
752,F,graduate school,single,25
753,M,university,single,26
754,F,university,single,43
755,F,university,married,36
756,M,university,single,58
757,F,university,single,26
758,F,university,married,30
759,F,university,single,31
760,F,university,single,24
761,F,university,single,52
762,F,university,single,24
763,F,university,married,35
764,F,high school,single,29
765,F,university,married,33
766,F,graduate school,single,35
767,F,university,married,35
768,F,graduate school,single,28
769,M,university,married,40
770,F,graduate school,married,35
771,F,university,single,53
772,M,graduate school,single,44
773,M,university,married,33
774,F,university,married,32
775,F,graduate school,single,33
776,F,graduate school,single,26
777,M,graduate school,single,26
778,M,university,single,26
779,F,graduate school,married,32
780,F,university,single,31
781,M,graduate school,single,29
782,M,university,married,27
783,F,graduate school,single,28
784,F,graduate school,married,42
785,F,university,married,32
786,F,graduate school,single,26
787,F,graduate school,single,38
788,F,graduate school,married,35
789,M,university,single,29
790,F,university,single,29
791,F,university,single,51
792,M,graduate school,single,27
793,M,graduate school,single,32
794,F,high school,married,40
795,F,graduate school,married,34
796,F,university,married,30
797,F,graduate school,single,29
798,F,graduate school,single,22
799,F,graduate school,single,48
800,F,university,married,35
801,M,graduate school,single,37
802,M,university,single,25
803,F,high school,married,44
804,F,graduate school,single,28
805,M,university,single,29
806,F,graduate school,married,36
807,F,university,single,23
808,F,high school,single,36
809,F,graduate school,single,26
810,F,university,,37
811,F,graduate school,others,44
812,F,graduate school,married,39
813,F,graduate school,single,24
814,F,high school,married,29
815,M,high school,married,33
816,F,university,married,39
817,M,high school,married,51
818,F,high school,single,24
819,F,university,married,45
820,M,graduate school,single,30
821,F,high school,,51
822,F,university,single,24
823,M,university,married,50
824,F,graduate school,single,22
825,M,graduate school,single,27
826,F,university,single,33
827,F,university,married,24
828,M,university,single,37
829,F,university,married,58
830,F,university,married,48
831,M,graduate school,single,28
832,F,high school,married,24
833,F,university,married,27
834,F,high school,single,30
835,F,graduate school,single,23
836,F,high school,single,53
837,F,university,single,23
838,F,university,married,55
839,M,university,married,34
840,M,graduate school,married,43
841,F,university,single,22
842,F,university,married,31
843,F,university,married,32
844,F,university,single,33
845,M,high school,married,39
846,F,graduate school,married,38
847,F,university,married,34
848,M,university,others,42
849,M,high school,married,37
850,F,high school,married,57
851,F,university,single,23
852,M,university,single,32
853,M,graduate school,married,37
854,F,university,single,23
855,F,high school,single,49
856,F,university,single,25
857,F,graduate school,single,29
858,F,high school,married,43
859,M,university,single,29
860,F,university,single,27
861,M,graduate school,single,26
862,M,graduate school,married,41
863,F,high school,single,52
864,F,university,married,31
865,M,graduate school,single,32
866,F,university,married,46
867,F,university,single,35
868,M,graduate school,single,35
869,F,university,married,39
870,F,university,single,34
871,F,university,others,52
872,F,high school,married,40
873,F,high school,married,38
874,M,graduate school,married,45
875,F,high school,married,40
876,F,university,married,25
877,M,graduate school,single,33
878,F,university,single,27
879,F,university,married,43
880,F,university,married,43
881,M,graduate school,single,30
882,F,university,married,49
883,F,graduate school,single,38
884,M,high school,single,57
885,M,high school,single,55
886,F,university,single,23
887,M,graduate school,single,30
888,F,university,married,30
889,F,university,single,24
890,M,university,single,28
891,F,high school,married,34
892,M,university,single,37
893,F,university,married,32
894,M,graduate school,single,27
895,F,university,married,37
896,M,graduate school,single,31
897,M,graduate school,others,55
898,F,graduate school,single,28
899,F,high school,others,51
900,M,graduate school,married,36
901,M,graduate school,single,30
902,F,graduate school,married,36
903,M,university,single,25
904,M,high school,married,50
905,F,university,single,40
906,F,university,single,27
907,M,graduate school,single,30
908,F,university,single,26
909,M,graduate school,single,27
910,F,graduate school,single,27
911,F,graduate school,single,25
912,M,graduate school,single,32
913,F,high school,married,46
914,M,high school,married,45
915,M,high school,married,30
916,M,graduate school,married,39
917,M,graduate school,married,48
918,M,graduate school,single,32
919,M,graduate school,single,46
920,F,graduate school,single,23
921,F,graduate school,single,33
922,F,graduate school,single,24
923,M,graduate school,married,40
924,F,graduate school,single,24
925,F,university,single,24
926,M,graduate school,single,27
927,M,university,married,46
928,F,university,single,22
929,F,graduate school,single,36
930,M,graduate school,married,34
931,F,university,single,24
932,M,graduate school,married,60
933,F,university,single,29
934,M,university,single,32
935,F,university,married,36
936,M,university,single,30
937,F,university,single,29
938,M,graduate school,single,34
939,F,university,married,32
940,F,university,married,32
941,F,graduate school,single,25
942,M,university,married,44
943,F,graduate school,married,37
944,F,university,single,24
945,F,university,single,23
946,F,graduate school,single,29
947,F,university,married,37
948,M,university,married,59
949,M,university,single,33
950,F,high school,married,51
951,M,graduate school,married,27
952,F,university,married,32
953,F,high school,single,42
954,M,university,single,39
955,F,university,married,46
956,M,graduate school,married,41
957,F,university,single,30
958,F,graduate school,married,34
959,M,graduate school,single,35
960,M,graduate school,single,41
961,M,graduate school,single,43
962,M,university,single,47
963,M,university,single,31
964,M,university,single,30
965,M,university,single,24
966,M,graduate school,married,36
967,M,graduate school,single,28
968,F,graduate school,married,36
969,F,university,married,27
970,F,university,married,32
971,M,graduate school,married,42
972,F,university,married,33
973,F,high school,married,39
974,F,graduate school,others,30
975,M,university,married,30
976,F,university,single,22
977,M,university,single,25
978,M,graduate school,single,28
979,M,university,single,26
980,F,high school,married,54
981,F,graduate school,single,24
982,M,university,single,29
983,M,graduate school,single,36
984,M,high school,married,49
985,F,graduate school,single,23
986,M,high school,single,43
987,F,university,married,33
988,M,high school,married,53
989,F,university,single,25
990,M,high school,married,54
991,F,high school,married,39
992,F,graduate school,married,44
993,F,university,single,27
994,F,graduate school,single,25
995,F,graduate school,single,29
996,M,graduate school,single,39
997,M,graduate school,married,45
998,M,graduate school,married,38
999,F,university,single,23
1000,M,university,single,25
1001,M,university,married,29
1002,F,university,married,28
1003,F,university,married,40
1004,M,graduate school,single,36
1005,F,high school,single,30
1006,M,graduate school,single,29
1007,F,university,single,36
1008,F,university,married,37
1009,M,university,single,34
1010,F,graduate school,single,27
1011,M,graduate school,single,31
1012,F,graduate school,married,31
1013,M,graduate school,single,38
1014,M,university,single,36
1015,M,graduate school,married,46
1016,F,graduate school,married,36
1017,F,graduate school,single,26
1018,F,high school,single,57
1019,F,high school,married,40
1020,F,high school,,45
1021,M,graduate school,others,57
1022,F,university,single,25
1023,F,high school,married,37
1024,F,graduate school,married,35
1025,M,university,single,33
1026,M,graduate school,married,38
1027,M,university,single,31
1028,F,graduate school,single,41
1029,M,graduate school,single,33
1030,F,university,married,67
1031,F,graduate school,married,40
1032,M,graduate school,single,33
1033,F,graduate school,single,31
1034,F,university,single,35
1035,F,university,others,39
1036,M,university,single,27
1037,M,graduate school,single,23
1038,M,high school,married,54
1039,F,high school,single,23
1040,M,high school,single,24
1041,M,university,single,26
1042,F,university,single,52
1043,F,university,married,42
1044,F,graduate school,single,36
1045,F,graduate school,single,22
1046,F,graduate school,single,23
1047,M,high school,married,30
1048,F,high school,single,24
1049,F,graduate school,married,42
1050,M,university,married,49
1051,M,university,single,31
1052,F,high school,single,33
1053,M,graduate school,married,42
1054,M,high school,single,41
1055,M,university,married,53
1056,M,university,single,23
1057,F,graduate school,single,33
1058,F,university,married,29
1059,F,high school,married,67
1060,M,high school,married,33
1061,F,high school,married,34
1062,M,university,married,49
1063,F,university,married,56
1064,M,graduate school,married,42
1065,F,high school,married,55
1066,F,university,married,25
1067,M,high school,single,30
1068,M,university,single,43
1069,M,graduate school,single,40
1070,F,graduate school,single,35
1071,M,graduate school,married,61
1072,F,university,married,44
1073,M,graduate school,single,33
1074,M,unknown,married,66
1075,F,university,single,40
1076,M,high school,single,47
1077,M,graduate school,single,27
1078,M,graduate school,single,35
1079,F,high school,married,47
1080,F,high school,married,39
1081,F,university,single,29
1082,M,university,married,32
1083,F,graduate school,single,30
1084,F,graduate school,single,25
1085,F,university,single,23
1086,F,university,married,43
1087,F,university,married,41
1088,F,university,married,40
1089,F,high school,married,35
1090,F,graduate school,single,28
1091,F,university,single,38
1092,M,graduate school,single,31
1093,M,high school,married,29
1094,M,university,married,41
1095,M,university,single,31
1096,M,graduate school,single,29
1097,M,graduate school,single,26
1098,M,graduate school,married,42
1099,M,high school,single,29
1100,M,graduate school,married,50
1101,F,high school,single,46
1102,F,university,single,24
1103,F,university,married,46
1104,F,high school,single,28
1105,F,university,married,35
1106,F,graduate school,married,40
1107,F,graduate school,married,41
1108,F,university,married,47
1109,M,university,married,54
1110,F,university,single,33
1111,M,university,single,29
1112,F,high school,married,44
1113,F,university,married,24
1114,M,graduate school,single,33
1115,M,high school,married,54
1116,M,graduate school,single,27
1117,F,university,single,37
1118,M,graduate school,single,24
1119,F,high school,married,54
1120,F,university,married,34
1121,F,university,single,40
1122,M,university,single,30
1123,M,university,single,26
1124,F,university,married,41
1125,F,university,single,29
1126,M,graduate school,married,38
1127,F,graduate school,single,35
1128,F,university,married,52
1129,F,graduate school,single,29
1130,F,university,single,23
1131,F,university,married,34
1132,F,university,single,34
1133,M,graduate school,married,44
1134,F,university,married,36
1135,M,university,single,28
1136,F,university,single,31
1137,M,university,single,31
1138,M,university,married,41
1139,F,high school,married,44
1140,F,high school,single,47
1141,M,university,single,25
1142,F,graduate school,single,25
1143,F,graduate school,married,39
1144,F,university,married,24
1145,F,university,married,35
1146,M,university,married,32
1147,F,graduate school,single,31
1148,M,graduate school,single,33
1149,F,graduate school,single,30
1150,M,university,married,52
1151,F,university,married,36
1152,M,graduate school,single,30
1153,F,university,single,42
1154,F,graduate school,single,30
1155,M,high school,married,47
1156,F,university,married,29
1157,F,graduate school,single,23
1158,M,high school,married,39
1159,F,university,married,48
1160,M,university,single,26
1161,M,graduate school,single,33
1162,F,university,married,44
1163,F,university,married,36
1164,F,university,married,39
1165,M,university,single,24
1166,F,university,single,25
1167,M,graduate school,single,52
1168,F,high school,married,59
1169,F,graduate school,single,23
1170,F,high school,single,48
1171,F,graduate school,single,28
1172,M,high school,married,62
1173,F,high school,married,38
1174,F,graduate school,single,32
1175,F,university,married,29
1176,M,university,single,25
1177,F,university,single,35
1178,F,university,single,27
1179,M,university,single,38
1180,M,university,single,24
1181,M,university,married,29
1182,F,graduate school,single,27
1183,F,university,married,55
1184,F,graduate school,single,29
1185,M,graduate school,single,29
1186,M,university,single,23
1187,M,university,married,30
1188,F,university,married,50
1189,F,university,married,38
1190,F,graduate school,single,24
1191,F,graduate school,single,29
1192,M,graduate school,single,38
1193,F,university,single,34
1194,M,graduate school,married,37
1195,F,high school,married,66
1196,F,graduate school,married,39
1197,F,university,married,45
1198,M,university,married,44
1199,F,high school,single,44
1200,M,graduate school,married,36
1201,F,high school,married,40
1202,M,graduate school,single,29
1203,F,graduate school,single,48
1204,F,university,single,23
1205,F,university,married,50
1206,F,university,married,29
1207,F,high school,married,49
1208,M,university,married,33
1209,F,university,married,51
1210,M,high school,married,23
1211,F,graduate school,married,37
1212,F,high school,single,26
1213,F,graduate school,married,30
1214,F,high school,married,26
